"RANK","NAME","Position","Team","BYE","TIER","UP","DOWN","TARGET","WIN"
"1","Brock Bowers","TE","LV","13","1","false","false","true","true"
"2","Trey McBride","TE","ARI","2","2","false","false","false","false"
"3","Tyler Warren","TE","IND","13","3","false","false","true","true"
"4","Colston Loveland","TE","CHI","10","3","true","false","false","false"
"5","Sam LaPorta","TE","DET","6","4","false","false","true","false"
"6","Tucker Kraft","TE","GB","11","4","false","false","false","false"
"7","Harold Fannin Jr.","TE","CLE","11","4","false","false","false","false"
"8","Kyle Pitts Sr.","TE","ATL","11","4","false","false","false","false"
"9","Travis Kelce","TE","KC","5","5","false","false","true","false"
"10","George Kittle","TE","SF","8","5","false","false","false","false"
"11","Jake Ferguson","TE","DAL","14","5","false","false","true","false"
"12","Dalton Kincaid","TE","BUF","7","6","false","false","false","false"
"13","Mark Andrews","TE","BAL","13","6","true","false","true","false"
"14","Dallas Goedert","TE","PHI","10","6","false","false","false","false"
"15","Brenton Strange","TE","JAX","7","6","true","false","true","false"
"16","Isaiah Likely","TE","NYG","8","7","false","false","false","false"
"17","Juwan Johnson","TE","NO","8","7","false","false","false","false"
"18","Hunter Henry","TE","NE","11","7","false","false","false","false"
"19","Dalton Schultz","TE","HOU","8","7","false","false","false","false"
"20","T.J. Hockenson","TE","MIN","6","8","false","false","false","false"
"21","Oronde Gadsden","TE","LAC","7","8","false","false","false","false"
"22","AJ Barner","TE","SEA","11","8","false","false","false","false"
"23","Terrance Ferguson","TE","LAR","11","8","true","false","false","false"
"24","Chig Okonkwo","TE","WAS","7","8","false","false","false","false"
"25","Greg Dulcich","TE","MIA","6","8","true","false","true","false"
"26","Pat Freiermuth","TE","PIT","9","9","false","false","false","false"
"27","Kenyon Sadiq","TE","NYJ","13","9","false","false","false","false"
"28","Cade Otton","TE","TB","10","9","false","false","false","false"
"29","Gunnar Helm","TE","TEN","9","9","false","false","false","false"
"30","Michael Mayer","TE","LV","13","10","false","false","false","false"
"31","Colby Parkinson","TE","LAR","11","10","false","false","false","false"
"32","Mike Gesicki","TE","CIN","6","10","false","false","false","false"
"33","Charlie Kolar","TE","LAC","7","11","true","false","false","false"
"34","David Njoku","TE","LAC","7","11","false","false","false","false"
"35","Evan Engram","TE","DEN","10","11","false","false","false","false"
"36","Ja'Tavion Sanders","TE","CAR","2","11","false","false","false","false"
"37","Mason Taylor","TE","NYJ","13","11","false","false","false","false"
"38","Elijah Arroyo","TE","SEA","11","11","true","false","false","false"
"39","Dawson Knox","TE","BUF","7","12","false","false","false","false"
"40","Cole Kmet","TE","CHI","10","12","false","false","false","false"
"41","Justin Joly","TE","","","12","true","false","false","false"
"42","Sam Roush","TE","CHI","10","12","false","false","false","false"
"43","Tyler Higbee","TE","LAR","11","12","false","false","false","false"
"44","Jake Tonges","TE","SF","8","13","false","false","false","false"
"45","Tommy Tremble","TE","CAR","2","13","false","false","false","false"
"46","Noah Gray","TE","KC","5","13","false","false","false","false"
"47","Oscar Delp","TE","NO","8","13","false","false","false","false"
"48","Eli Raridon","TE","NE","11","13","false","false","false","false"
"49","Darnell Washington","TE","PIT","9","13","false","false","false","false"
"50","Daniel Bellinger","TE","TEN","9","13","false","false","false","false"
"51","Noah Fant","TE","NO","8","13","false","false","false","false"
"52","Theo Johnson","TE","NYG","8","13","false","false","false","false"
"53","Austin Hooper","TE","ATL","11","13","false","false","false","false"
"54","Luke Musgrave","TE","GB","11","13","false","false","false","false"
"55","Tanner Hudson","TE","CIN","6","13","false","false","false","false"
"56","Ben Sinnott","TE","WAS","7","14","false","false","false","false"
"57","Eli Stowers","TE","PHI","10","14","false","false","false","false"
"58","Josh Oliver","TE","MIN","6","14","false","false","false","false"
"59","Luke Schoonmaker","TE","DAL","14","14","false","false","false","false"
"60","Jonnu Smith","TE","GB","11","14","false","false","false","false"
